ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,Side,City,County,Zipcode,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Crossing,Give_Way,Junction,No_Exit,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Start_Year,Start_Month,Start_Dayofweek,Start_Hour,Fog,Rain,Heavy_Rain,Light_Rain,Snow
A-169846,MapQuest,201,3,2017-01-19 10:59:00,2017-01-19 11:29:00,38.730312,-90.332359,0.01,Accident on I-70 Westbound at I-170 Exits 7A 7B 7C.,I-70 W,R,Saint Louis,St. Louis County,63134,46.0,41.4,89.0,29.89,4.0,ESE,9.2,0.0,Light Rain,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,10,0,0,0,1,0
A-169855,MapQuest,201,3,2017-01-19 12:40:00,2017-01-19 13:09:00,38.797443,-90.579208,0.01,Center lane closed due to accident on I-70 Eastbound at Executive Center Loop.,N Service Rd,L,Saint Peters,St. Charles,63376,46.0,43.9,96.0,29.8,3.0,East,4.6,0.0,Light Rain,0,0,0,0,0,0,0,0,0,0,0,Day,2017,1,3,12,0,0,0,1,0
A-170189,MapQuest,201,3,2017-01-26 17:39:00,2017-01-26 18:09:00,38.581558,-90.448074,0.01,Accident on I-270 Northbound at Exit 8 Dougherty Ferry Rd.,I-270 S,R,Saint Louis,St. Louis County,63131,32.0,22.5,69.0,30.15,7.0,WNW,12.7,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Night,2017,1,3,17,0,0,0,0,0
A-172176,MapQuest,201,3,2016-11-22 21:55:00,2016-11-22 22:24:00,38.511326000000004,-90.33596,0.01,Left lane closed due to accident on I-55 Southbound at Exit 197-196 US-50 Lindbergh Blvd.,I-55 S,R,Saint Louis,St. Louis County,63128,44.1,39.0,79.0,30.05,10.0,SE,9.2,0.02,Light Rain,0,0,0,0,0,0,0,0,0,1,0,Night,2016,11,1,21,0,0,0,1,0
A-172782,MapQuest,201,1,2016-09-14 08:33:00,2016-09-14 09:03:00,38.685584999999996,-90.344261,0.0,Accident on Page Ave Westbound at Crystal Industrial Ct.,Page Ave,R,Saint Louis,Saint Louis,63114-6008,75.0,75.0,73.0,30.16,10.0,NNE,8.1,0.01,Scattered Clouds,0,0,0,0,0,0,0,0,0,0,0,Day,2016,9,2,8,0,0,0,0,0
A-173701,MapQuest,201,1,2016-09-30 07:59:00,2016-09-30 08:44:00,38.528362,-90.396355,0.0,Accident on Mill Hill Ln Westbound in Affton.,Mill Hill Ln,R,Saint Louis,Saint Louis,63127-1652,62.1,62.0,84.0,30.1,10.0,NNW,10.4,0.0,Overcast,0,0,0,0,0,0,0,0,0,0,0,Day,2016,9,4,7,0,0,0,0,0
A-173710,MapQuest,201,1,2016-09-30 09:06:00,2016-09-30 09:36:00,38.634578999999995,-90.186806,0.0,Accident on Carr St in St Louis.,Carr St,L,Saint Louis,St. Louis City,63101,62.1,62.0,84.0,30.1,10.0,NNW,12.7,0.0,Overcast,0,0,0,0,0,0,0,0,0,0,0,Day,2016,9,4,9,0,0,0,0,0
A-366024,MapQuest,201,3,2017-03-11 07:33:00,2017-03-11 08:03:00,38.79834,-90.591133,0.01,Left lane closed due to accident on I-70 Westbound at Exit 224 MO-370.,I-70 W,R,Saint Peters,St. Charles,63376,28.0,18.6,81.0,30.51,3.0,ENE,10.4,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,3,5,7,0,0,0,0,0
A-366025,MapQuest,201,2,2017-03-11 07:29:00,2017-03-11 07:58:00,38.780727,-90.416756,0.01,Right lane closed due to accident on MO-370 Westbound at Exit 11 Saint Louis Mills Blvd.,MO-370 E,R,Bridgeton,St. Louis County,63044,28.9,20.4,72.0,30.47,7.0,NE,9.2,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,3,5,7,0,0,0,0,0
A-366026,MapQuest,201,3,2017-03-11 07:30:00,2017-03-11 08:00:00,38.770027,-90.406715,0.01,Right lane blocked due to accident on I-270 Eastbound at Exits 22B 22B-A MO-370.,I-270 S,R,Bridgeton,St. Louis County,63044,30.0,22.4,64.0,30.51,9.0,NE,8.1,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,3,5,7,0,0,0,0,0
A-366028,MapQuest,201,3,2017-03-11 07:42:00,2017-03-11 08:11:00,38.637756,-90.186493,0.01,Right lane closed due to accident on I-44 Westbound at Exit 292B I-70.,I-44 W,R,Saint Louis,St. Louis City,63102,28.9,21.9,72.0,30.48,9.0,ENE,6.9,0.0,Overcast,0,0,0,0,0,0,0,0,0,1,0,Day,2017,3,5,7,0,0,0,0,0
A-366048,MapQuest,201,3,2017-03-13 06:12:00,2017-03-13 06:56:00,38.505767999999996,-90.67716999999999,0.01,Right lane closed due to accident on I-44 Westbound after Six Flags Rd.,Six Flags Rd,R,Eureka,St. Louis County,63025,33.1,30.0,100.0,30.08,1.5,Variable,3.5,0.02,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Night,2017,3,0,6,0,0,0,0,0
A-366049,MapQuest,201,3,2017-03-13 06:12:00,2017-03-13 06:56:00,38.505767999999996,-90.67716999999999,0.01,Left lane closed due to accident on I-44 Eastbound before Six Flags Rd.,Six Flags Rd,R,Eureka,St. Louis County,63025,33.1,30.0,100.0,30.08,1.5,Variable,3.5,0.02,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Night,2017,3,0,6,0,0,0,0,0
A-366050,MapQuest,201,3,2017-03-13 07:02:00,2017-03-13 07:32:00,38.674175,-90.362061,0.01,Lane blocked due to accident on I-170 Southbound after MO-340 Olive Blvd.,I-170 N,R,Saint Louis,St. Louis County,63132,34.0,25.5,89.0,30.07,7.0,SSE,11.5,0.01,Light Snow,0,0,0,0,0,0,0,0,0,1,0,Night,2017,3,0,7,0,0,0,0,0
A-366051,MapQuest,201,3,2017-03-13 06:59:00,2017-03-13 07:29:00,38.660851,-90.35764300000001,0.01,2 right lane closed due to accident on I-170 Inner Belt Southbound before Delmar Blvd.,Inner Belt S,R,Saint Louis,St. Louis County,63132,34.0,25.5,89.0,30.07,7.0,SSE,11.5,0.01,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Night,2017,3,0,6,0,0,0,0,0
A-366122,MapQuest,201,3,2017-03-13 11:15:00,2017-03-13 11:44:00,38.581558,-90.448074,0.01,Right lane closed due to accident on I-270 Northbound at Dougherty Ferry Rd.,I-270 S,R,Saint Louis,St. Louis County,63131,36.0,31.1,89.0,30.04,1.8,SE,5.8,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,3,0,11,0,0,0,0,0
A-366131,MapQuest,201,3,2017-03-13 12:07:00,2017-03-13 12:36:00,38.755657,-90.458588,0.01,Accident on I-70 Westbound for MO-141 Earth City Expy.,I-70 W,R,Earth City,St. Louis County,63045,37.0,33.3,93.0,30.06,1.2,SSE,4.6,0.0,Light Drizzle,0,0,0,0,0,0,0,0,0,0,0,Day,2017,3,0,12,0,0,0,0,0
A-366222,MapQuest,201,2,2017-03-14 10:12:00,2017-03-14 10:41:00,38.79213,-90.452377,0.01,Left hand shoulder blocked due to accident on MO-370 Eastbound after MO-141 Earth City Expy / Earth City Expy.,MO-370 E,R,Bridgeton,St. Louis County,63044,28.9,17.7,78.0,30.35,5.0,North,15.0,0.0,Light Snow,0,0,0,0,0,0,0,0,0,0,0,Day,2017,3,1,10,0,0,0,0,0
